,id,count,name
294,556,26891695,Yesterday
408,587,26891695,None
54,529,26891695,Work full time / self employed
165,760,26891695,0-1000 USD
293,593,26891695,Joint Decision Maker
347,517,26891695,English
709,545,26891695,Owned
35,487,26891695,Other
189,221,26891694,Mobile/Smartphone
212,574,26891694,3+
652,582,26891693,"Mobile Data (e.g. GPRS, EDGE, 3G, LTE)"
517,645,26891634,None of the above
331,548,26891613,Married/Living Together/Partnership
222,577,26891579,Mobile phone
624,701,26891393,Black
433,491,26889863,South Africa - Gauteng
166,455,26882660,Multi Family HH/Shared HH
247,499,26865987,"City/Large Town (40,000 - 249,999)"
514,176,26833003,South Africa
100,752,26824705,R 6000-11999
512,503,26819131,South Africa - Greater Johannesburg
690,444,26818864,6+
267,1,26532018,Male
769,458,25858635,Professionals (MENA)
47,551,23332331,4 to 10 years
237,276,19191110,Egypt
463,747,17225546,University or other Tertiary - (Under)graduate
452,8,16785875,30-34
178,6,9687474,20-24
196,744,9666148,Secondary
631,372,6165401,Saudi Arabia
101,555,3559364,None
444,543,1013887,Other (Africa)
421,382,587518,South Africa
664,338,477918,Morocco
599,14,418270,60+
496,2,359677,Female
244,226,191833,Algeria
367,309,174820,Jordan
749,317,72631,Lebanon
483,753,66881,R 12000-19999
507,508,59211,South Africa - Pretoria
10,442,53894,4
180,68,31896,Egypt
688,300,29751,India
255,498,25708,"Metro - Major City (250,000+)"
481,166,20681,Saudi Arabia
402,440,18937,2
398,535,16883,Administrative and Managerial (Africa)
20,502,13314,South Africa - Cape Town
